code,list,section,ordinal,supplementary,author,title,year,kind,stars,work_id,pdf,pdf_verdict,state,pages,sections,chunks,embedded,note
II.G.25,II. Dissertation,"Chicana Spatial Criticism, Borderlands, and Hemispheric Haunting",25,,"Blanco, María del Pilar","Ghost-Watching American Modernity: Haunting, Landscape, and the Hemispheric Imagination",2012,monograph,,blanco-ghost-watching-american-modernity-haunti-2012,"Ghost-Watching American Modernity _ Haunting, Landscape, and -- Blanco, María del Pilar -- 2012 mar 01 -- Fordham University Press -- isbn13 9780823242146 -- 61c9fd33308f8a3be9d19491aa3af3eb -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.G.26,II. Dissertation,"Chicana Spatial Criticism, Borderlands, and Hemispheric Haunting",26,,"Brady, Mary Pat","Extinct Lands, Temporal Geographies: Chicana Literature and the Urgency of Space",2002,monograph,,brady-extinct-lands-temporal-geographies-chica-2002,"Extinct Lands, Temporal Geographies_ Chicana Literature and -- Mary Pat Brady -- Latin America otherwise, Durham, North Carolina, 2002 -- Duke -- isbn13 9780822329749 -- 5fb2b67f4160ee741157942ad763c367 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.G.27,II. Dissertation,"Chicana Spatial Criticism, Borderlands, and Hemispheric Haunting",27,,"Perez, Domino Renee",There Was a Woman: La Llorona from Folklore to Popular Culture,2008,monograph,,perez-there-was-a-woman-la-2008,"There Was a Woman _ La Llorona From Folklore to Popular -- by Domino Renee Perez -- University of Texas Press, Austin, 2008 -- University of Texas -- isbn13 9780292718111 -- d6c4bfe86395bc3c28b9b52ce5c9c93b -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.H.28,II. Dissertation,"Archival Criticism, Documents, and Media",28,,"Bolaños, Álvaro Félix, Gustavo Verdesio, editores",Colonialism Past and Present: Reading and Writing about Colonial Latin America Today,2002,edited_volume,,bolanos-colonialism-past-and-present-reading-2002,"Colonialism past and present _ reading and writing about -- Bolaños, Alvaro Félix, 1955-; Verdesio, Gustavo -- State University of New York Press, -- isbn13 9780585442846 -- 92b8d77af893573db2546ccce69e3b5d -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
II.H.29,II. Dissertation,"Archival Criticism, Documents, and Media",29,,"Moraña, Mabel, Enrique Dussel y Carlos A",Coloniality at Large: Latin America and the Postcolonial Debate,2008,monograph,,morana-coloniality-at-large-latin-america-2008,Coloniality at Large _ Latin America and the Postcolonial -- Mabel Moraña (editor); Enrique Dussel (editor); Carlos A_ -- Latin America otherwise _ -- isbn13 9780822341475 -- 148b02da64da083790198998d98de86e -- Anna’s Archive.pdf,citable,mapped,0,0,0,0,
II.I.30,II. Dissertation,Nuevomexicano Cultural History and Genízaro Identity,30,,"Gonzales, Moises, y Enrique R","Nación Genízara: Ethnogenesis, Place, and Identity in New Mexico",2019,monograph,,gonzales-nacion-genizara-ethnogenesis-place-and-2019,"Nación Ǵenízara _ ethnogenesis, place, and identity in -- Moises Gonzales; Enrique R_ Lamadrid -- University of New Mexico Press, Albuquerque, 2019 -- isbn13 9780826361073 -- b403bbddc7e7aa8eaa28543b752ec1d5 -- Anna’s Archive.pdf",check by hand,mapped,0,0,0,0,
II.Supl.31,II. Dissertation,Supplementary,31,yes,"Padilla, Genaro M","My History, Not Yours: The Formation of Mexican American Autobiography",1993,monograph,,padilla-my-history-not-yours-the-1993,,,missing,0,0,0,0,
II.Supl.32,II. Dissertation,Supplementary,32,yes,"Briggs, Charles L",Competence in Performance: The Creativity of Tradition in Mexicano Verbal Art,1988,monograph,,briggs-competence-in-performance-the-creativity-1988,,,missing,0,0,0,0,
II.Supl.33,II. Dissertation,Supplementary,33,yes,"Rama, Ángel",La ciudad letrada,1984,monograph,,rama-la-ciudad-letrada-1984,,,wrong,0,0,0,0,"scores against the Transculturación narrativa file; different book, no copy of La ciudad letrada in the corpus"
II.Supl.34,II. Dissertation,Supplementary,34,yes,"Cobos, Rubén",A Dictionary of New Mexico and Southern Colorado Spanish,2003,monograph,,cobos-a-dictionary-of-new-mexico-2003,"A dictionary of New Mexico and southern Colorado Spanish , A -- Cobos, Rube_n, None -- Sante Fe, New Mexico, 1983 -- Sante Fe _ Museum of New Mexico -- isbn13 9780890131411 -- 11eddce03216b570e11b1bf07ec45b43 -- Anna�s Archive.pdf",,missing,0,0,0,0,
